"","subject","type","item","condition","question","correct_answer","response","rt","group","ambiguity","trimmed_rt"
"26","Native 1","gap",22,"b","!","{Yes}",0,3000,"Native","Unambiguous",3000
"43","Native 1","gap",16,"b","!","{No}",1,2705,"Native","Unambiguous",2705
"47","Native 1","gap",21,"a","!","{Yes}",0,1914,"Native","Ambiguous",1914
"51","Native 1","gap",19,"a","!","{Yes}",0,2490,"Native","Ambiguous",2490
"71","Native 1","gap",13,"a","!","{Yes}",0,2284,"Native","Ambiguous",2284
"82","Native 1","gap",14,"b","!","{Yes}",0,1526,"Native","Unambiguous",1526
"96","Native 1","gap",20,"b","!","{No}",1,1910,"Native","Unambiguous",1910
"119","Native 1","gap",24,"b","!","{No}",1,3237,"Native","Unambiguous",3237
"123","Native 1","gap",23,"a","!","{Yes}",0,2275,"Native","Ambiguous",2275
"162","Native 1","gap",18,"b","!","{No}",1,2996,"Native","Unambiguous",2996
"165","Native 1","gap",17,"a","!","{No}",1,3227,"Native","Ambiguous",3227
"179","Native 1","gap",15,"a","!","{No}",1,1968,"Native","Ambiguous",1968
"205","Native 2","gap",14,"a","!","{Yes}",0,2003,"Native","Ambiguous",2003
"213","Native 2","gap",20,"a","!","{No}",1,2414,"Native","Ambiguous",2414
"237","Native 2","gap",23,"b","!","{Yes}",0,3213,"Native","Unambiguous",3213
"279","Native 2","gap",18,"a","!","{Yes}",0,1017,"Native","Ambiguous",1017
"283","Native 2","gap",17,"b","!","{Yes}",0,2780,"Native","Unambiguous",2780
"300","Native 2","gap",21,"b","!","{Yes}",0,1187,"Native","Unambiguous",1187
"304","Native 2","gap",15,"b","!","{Yes}",0,1954,"Native","Unambiguous",1954
"310","Native 2","gap",19,"b","!","{No}",1,1110,"Native","Unambiguous",1110
"318","Native 2","gap",13,"b","!","{Yes}",0,931,"Native","Unambiguous",931
"327","Native 2","gap",24,"a","!","{No}",1,936,"Native","Ambiguous",936
"334","Native 2","gap",22,"a","!","{No}",1,2509,"Native","Ambiguous",2509
"338","Native 2","gap",16,"a","!","{Yes}",0,1518,"Native","Ambiguous",1518
"385","Native 3","gap",13,"a","!","{Yes}",0,2733,"Native","Ambiguous",2733
"391","Native 3","gap",14,"b","!","{Yes}",0,2678,"Native","Unambiguous",2678
"416","Native 3","gap",23,"a","!","{Yes}",0,6209,"Native","Ambiguous",6209
"423","Native 3","gap",24,"b","!","{No}",1,2442,"Native","Unambiguous",2442
