"","subject","type","item","condition","question","correct_answer","response","rt","group","ambiguity","trimmed_rt"
"1209","Native 7","gap",23,"a","0","-","-",3809,"Native","Ambiguous",3809
"1226","Native 7","gap",15,"a","0","-","-",4843,"Native","Ambiguous",4843
"1234","Native 7","gap",18,"b","0","-","-",6428,"Native","Unambiguous",6428
"1255","Native 7","gap",19,"a","0","-","-",3998,"Native","Ambiguous",3998
"1287","Native 8","gap",22,"a","0","-","-",5343,"Native","Ambiguous",5343
"1325","Native 8","gap",14,"a","0","-","-",7300,"Native","Ambiguous",7300
"1329","Native 8","gap",13,"b","0","-","-",11160,"Native","Unambiguous",11160
"1338","Native 8","gap",15,"b","0","-","-",7854,"Native","Unambiguous",7854
"1359","Native 8","gap",17,"b","0","-","-",7591,"Native","Unambiguous",7591
"1366","Native 8","gap",19,"b","0","-","-",7387,"Native","Unambiguous",7387
"1373","Native 8","gap",21,"b","0","-","-",8691,"Native","Unambiguous",8691
"1385","Native 8","gap",23,"b","0","-","-",7157,"Native","Unambiguous",7157
"1394","Native 8","gap",20,"a","0","-","-",3896,"Native","Ambiguous",3896
"1398","Native 8","gap",16,"a","0","-","-",10186,"Native","Ambiguous",10186
"1405","Native 8","gap",24,"a","0","-","-",8370,"Native","Ambiguous",8370
"1426","Native 8","gap",18,"a","0","-","-",6585,"Native","Ambiguous",6585
"1463","Native 9","gap",20,"b","0","-","-",2400,"Native","Unambiguous",2400
"1485","Native 9","gap",16,"b","0","-","-",3387,"Native","Unambiguous",3387
"1494","Native 9","gap",15,"a","0","-","-",2959,"Native","Ambiguous",2959
"1502","Native 9","gap",19,"a","0","-","-",2295,"Native","Ambiguous",2295
"1512","Native 9","gap",13,"a","0","-","-",3114,"Native","Ambiguous",3114
"1535","Native 9","gap",14,"b","0","-","-",2579,"Native","Unambiguous",2579
"1543","Native 9","gap",17,"a","0","-","-",2133,"Native","Ambiguous",2133
"1554","Native 9","gap",22,"b","0","-","-",3249,"Native","Unambiguous",3249
"1557","Native 9","gap",24,"b","0","-","-",3407,"Native","Unambiguous",3407
"1564","Native 9","gap",23,"a","0","-","-",2186,"Native","Ambiguous",2186
"1581","Native 9","gap",21,"a","0","-","-",2293,"Native","Ambiguous",2293
"1593","Native 9","gap",18,"b","0","-","-",2647,"Native","Unambiguous",2647
"1675","Native 10","gap",18,"a","0","-","-",7887,"Native","Ambiguous",7887
"1685","Native 10","gap",13,"b","0","-","-",2856,"Native","Unambiguous",2856
"1688","Native 10","gap",21,"b","0","-","-",2744,"Native","Unambiguous",2744
"1743","Native 10","gap",15,"b","0","-","-",2397,"Native","Unambiguous",2397
"1751","Native 10","gap",20,"a","0","-","-",2785,"Native","Ambiguous",2785
"1755","Native 10","gap",17,"b","0","-","-",3830,"Native","Unambiguous",3830
"1758","Native 10","gap",24,"a","0","-","-",2786,"Native","Ambiguous",2786
"1766","Native 10","gap",22,"a","0","-","-",2757,"Native","Ambiguous",2757
"1776","Native 10","gap",19,"b","0","-","-",5114,"Native","Unambiguous",5114
"1784","Native 10","gap",23,"b","0","-","-",2830,"Native","Unambiguous",2830
"1788","Native 10","gap",14,"a","0","-","-",2509,"Native","Ambiguous",2509
"1791","Native 10","gap",16,"a","0","-","-",2615,"Native","Ambiguous",2615
"1818","Native 11","gap",19,"a","0","-","-",3236,"Native","Ambiguous",3236
"1841","Native 11","gap",18,"b","0","-","-",4214,"Native","Unambiguous",4214
"1844","Native 11","gap",24,"b","0","-","-",3618,"Native","Unambiguous",3618
"1863","Native 11","gap",22,"b","0","-","-",4285,"Native","Unambiguous",4285
"1870","Native 11","gap",23,"a","0","-","-",2353,"Native","Ambiguous",2353
"1895","Native 11","gap",16,"b","0","-","-",4999,"Native","Unambiguous",4999
"1910","Native 11","gap",20,"b","0","-","-",2940,"Native","Unambiguous",2940
"1918","Native 11","gap",21,"a","0","-","-",3286,"Native","Ambiguous",3286
"1921","Native 11","gap",15,"a","0","-","-",4069,"Native","Ambiguous",4069
"1933","Native 11","gap",13,"a","0","-","-",3399,"Native","Ambiguous",3399
"1952","Native 11","gap",17,"a","0","-","-",4484,"Native","Ambiguous",4484
"1969","Native 11","gap",14,"b","0","-","-",3765,"Native","Unambiguous",3765
"2000","Native 12","gap",17,"b","0","-","-",3276,"Native","Unambiguous",3276
"2019","Native 12","gap",15,"b","0","-","-",5506,"Native","Unambiguous",5506
"2041","Native 12","gap",23,"b","0","-","-",4144,"Native","Unambiguous",4144
"2045","Native 12","gap",20,"a","0","-","-",4321,"Native","Ambiguous",4321
"2052","Native 12","gap",13,"b","0","-","-",6288,"Native","Unambiguous",6288
"2056","Native 12","gap",24,"a","0","-","-",5267,"Native","Ambiguous",5267
"2075","Native 12","gap",14,"a","0","-","-",2582,"Native","Ambiguous",2582
"2090","Native 12","gap",21,"b","0","-","-",6499,"Native","Unambiguous",6499
"2104","Native 12","gap",18,"a","0","-","-",3115,"Native","Ambiguous",3115
"2124","Native 12","gap",16,"a","0","-","-",3813,"Native","Ambiguous",3813
"2127","Native 12","gap",22,"a","0","-","-",3303,"Native","Ambiguous",3303
"2149","Native 12","gap",19,"b","0","-","-",4786,"Native","Unambiguous",4786
"2182","Native 13","gap",18,"b","0","-","-",7209,"Native","Unambiguous",7209
"2186","Native 13","gap",16,"b","0","-","-",4973,"Native","Unambiguous",4973
"2194","Native 13","gap",22,"b","0","-","-",4127,"Native","Unambiguous",4127
"2236","Native 13","gap",23,"a","0","-","-",4120,"Native","Ambiguous",4120
"2243","Native 13","gap",19,"a","0","-","-",3823,"Native","Ambiguous",3823
"2248","Native 13","gap",20,"b","0","-","-",3663,"Native","Unambiguous",3663
"2255","Native 13","gap",13,"a","0","-","-",3910,"Native","Ambiguous",3910
"2289","Native 13","gap",17,"a","0","-","-",5029,"Native","Ambiguous",5029
"2300","Native 13","gap",15,"a","0","-","-",5997,"Native","Ambiguous",5997
"2310","Native 13","gap",21,"a","0","-","-",3682,"Native","Ambiguous",3682
"2319","Native 13","gap",24,"b","0","-","-",6131,"Native","Unambiguous",6131
"2327","Native 13","gap",14,"b","0","-","-",6430,"Native","Unambiguous",6430
"2387","Native 14","gap",18,"a","0","-","-",4799,"Native","Ambiguous",4799
"2399","Native 14","gap",21,"b","0","-","-",4076,"Native","Unambiguous",4076
"2438","Native 14","gap",19,"b","0","-","-",4799,"Native","Unambiguous",4799
"2445","Native 14","gap",23,"b","0","-","-",4628,"Native","Unambiguous",4628
"2455","Native 14","gap",24,"a","0","-","-",4136,"Native","Ambiguous",4136
"2463","Native 14","gap",15,"b","0","-","-",4846,"Native","Unambiguous",4846
"2474","Native 14","gap",22,"a","0","-","-",3683,"Native","Ambiguous",3683
"2490","Native 14","gap",17,"b","0","-","-",4317,"Native","Unambiguous",4317
"2493","Native 14","gap",20,"a","0","-","-",4260,"Native","Ambiguous",4260
"2499","Native 14","gap",13,"b","0","-","-",2267,"Native","Unambiguous",2267
"2510","Native 14","gap",14,"a","0","-","-",3178,"Native","Ambiguous",3178
"2514","Native 14","gap",16,"a","0","-","-",5187,"Native","Ambiguous",5187
"2535","Native 15","gap",23,"a","0","-","-",7152,"Native","Ambiguous",7152
"2569","Native 15","gap",22,"b","0","-","-",5523,"Native","Unambiguous",5523
"2573","Native 15","gap",17,"a","0","-","-",3898,"Native","Ambiguous",3898
"2580","Native 15","gap",19,"a","0","-","-",1303,"Native","Ambiguous",1303
"2597","Native 15","gap",13,"a","0","-","-",4147,"Native","Ambiguous",4147
"2604","Native 15","gap",15,"a","0","-","-",15349,"Native","Ambiguous",15349
"2608","Native 15","gap",18,"b","0","-","-",8551,"Native","Unambiguous",8551
"2655","Native 15","gap",24,"b","0","-","-",12662,"Native","Unambiguous",12662
"2659","Native 15","gap",21,"a","0","-","-",1826,"Native","Ambiguous",1826
"2667","Native 15","gap",14,"b","0","-","-",22631,"Native","Unambiguous",22631
"2684","Native 15","gap",20,"b","0","-","-",11467,"Native","Unambiguous",11467
"2694","Native 15","gap",16,"b","0","-","-",7843,"Native","Unambiguous",7843
"2715","Native 16","gap",23,"b","0","-","-",4245,"Native","Unambiguous",4245
"2718","Native 16","gap",16,"a","0","-","-",4141,"Native","Ambiguous",4141
"2721","Native 16","gap",18,"a","0","-","-",3509,"Native","Ambiguous",3509
"2734","Native 16","gap",20,"a","0","-","-",3936,"Native","Ambiguous",3936
"2748","Native 16","gap",14,"a","0","-","-",3600,"Native","Ambiguous",3600
"2760","Native 16","gap",19,"b","0","-","-",3578,"Native","Unambiguous",3578
"2782","Native 16","gap",21,"b","0","-","-",3987,"Native","Unambiguous",3987
"2785","Native 16","gap",13,"b","0","-","-",4188,"Native","Unambiguous",4188
"2792","Native 16","gap",22,"a","0","-","-",8355,"Native","Ambiguous",8355
"2829","Native 16","gap",24,"a","0","-","-",8720,"Native","Ambiguous",8720
"2867","Native 16","gap",15,"b","0","-","-",8336,"Native","Unambiguous",8336
"2873","Native 16","gap",17,"b","0","-","-",4257,"Native","Unambiguous",4257
"2907","Native 17","gap",16,"b","0","-","-",3096,"Native","Unambiguous",3096
"2922","Native 17","gap",13,"a","0","-","-",3464,"Native","Ambiguous",3464
"2929","Native 17","gap",19,"a","0","-","-",3049,"Native","Ambiguous",3049
"2953","Native 17","gap",18,"b","0","-","-",3456,"Native","Unambiguous",3456
"2990","Native 17","gap",15,"a","0","-","-",6177,"Native","Ambiguous",6177
"2998","Native 17","gap",24,"b","0","-","-",4707,"Native","Unambiguous",4707
"3001","Native 17","gap",23,"a","0","-","-",2602,"Native","Ambiguous",2602
"3014","Native 17","gap",17,"a","0","-","-",4099,"Native","Ambiguous",4099
"3018","Native 17","gap",22,"b","0","-","-",2984,"Native","Unambiguous",2984
"3035","Native 17","gap",14,"b","0","-","-",2535,"Native","Unambiguous",2535
"3047","Native 17","gap",20,"b","0","-","-",3883,"Native","Unambiguous",3883
"3058","Native 17","gap",21,"a","0","-","-",2309,"Native","Ambiguous",2309
"3090","Native 18","gap",14,"a","0","-","-",3022,"Native","Ambiguous",3022
"3094","Native 18","gap",22,"a","0","-","-",3860,"Native","Ambiguous",3860
"3105","Native 18","gap",24,"a","0","-","-",4566,"Native","Ambiguous",4566
"3115","Native 18","gap",20,"a","0","-","-",2681,"Native","Ambiguous",2681
"3131","Native 18","gap",17,"b","0","-","-",4557,"Native","Unambiguous",4557
"3146","Native 18","gap",21,"b","0","-","-",4990,"Native","Unambiguous",4990
"3174","Native 18","gap",15,"b","0","-","-",10828,"Native","Unambiguous",10828
"3194","Native 18","gap",19,"b","0","-","-",8199,"Native","Unambiguous",8199
"3210","Native 18","gap",16,"a","0","-","-",5258,"Native","Ambiguous",5258
"3213","Native 18","gap",13,"b","0","-","-",3158,"Native","Unambiguous",3158
"3217","Native 18","gap",23,"b","0","-","-",3349,"Native","Unambiguous",3349
"3220","Native 18","gap",18,"a","0","-","-",3516,"Native","Ambiguous",3516
"3262","Native 19","gap",16,"b","0","-","-",4122,"Native","Unambiguous",4122
"3288","Native 19","gap",23,"a","0","-","-",5770,"Native","Ambiguous",5770
"3292","Native 19","gap",15,"a","0","-","-",4617,"Native","Ambiguous",4617
"3298","Native 19","gap",20,"b","0","-","-",4074,"Native","Unambiguous",4074
"3315","Native 19","gap",13,"a","0","-","-",5291,"Native","Ambiguous",5291
"3318","Native 19","gap",22,"b","0","-","-",3774,"Native","Unambiguous",3774
"3336","Native 19","gap",17,"a","0","-","-",3814,"Native","Ambiguous",3814
"3339","Native 19","gap",21,"a","0","-","-",4071,"Native","Ambiguous",4071
"3353","Native 19","gap",19,"a","0","-","-",5385,"Native","Ambiguous",5385
"3378","Native 19","gap",24,"b","0","-","-",6811,"Native","Unambiguous",6811
"3401","Native 19","gap",14,"b","0","-","-",5096,"Native","Unambiguous",5096
"3418","Native 19","gap",18,"b","0","-","-",4154,"Native","Unambiguous",4154
"3466","Native 20","gap",15,"b","0","-","-",7619,"Native","Unambiguous",7619
"3473","Native 20","gap",22,"a","0","-","-",8430,"Native","Ambiguous",8430
"3495","Native 20","gap",17,"b","0","-","-",5224,"Native","Unambiguous",5224
"3502","Native 20","gap",24,"a","0","-","-",8409,"Native","Ambiguous",8409
"3518","Native 20","gap",21,"b","0","-","-",4848,"Native","Unambiguous",4848
"3532","Native 20","gap",14,"a","0","-","-",4910,"Native","Ambiguous",4910
"3539","Native 20","gap",13,"b","0","-","-",7840,"Native","Unambiguous",7840
"3543","Native 20","gap",23,"b","0","-","-",5994,"Native","Unambiguous",5994
"3562","Native 20","gap",19,"b","0","-","-",4527,"Native","Unambiguous",4527
"3569","Native 20","gap",16,"a","0","-","-",5220,"Native","Ambiguous",5220
"3572","Native 20","gap",18,"a","0","-","-",5920,"Native","Ambiguous",5920
"3591","Native 20","gap",20,"a","0","-","-",2782,"Native","Ambiguous",2782
"3620","Native 21","gap",17,"a","0","-","-",2579,"Native","Ambiguous",2579
"3637","Native 21","gap",21,"a","0","-","-",3252,"Native","Ambiguous",3252
"3643","Native 21","gap",18,"b","0","-","-",2707,"Native","Unambiguous",2707
"3650","Native 21","gap",19,"a","0","-","-",4242,"Native","Ambiguous",4242
"3661","Native 21","gap",24,"b","0","-","-",5629,"Native","Unambiguous",5629
"3669","Native 21","gap",22,"b","0","-","-",2750,"Native","Unambiguous",2750
"3697","Native 21","gap",14,"b","0","-","-",5753,"Native","Unambiguous",5753
"3700","Native 21","gap",23,"a","0","-","-",3580,"Native","Ambiguous",3580
"3703","Native 21","gap",16,"b","0","-","-",11340,"Native","Unambiguous",11340
"3717","Native 21","gap",15,"a","0","-","-",5833,"Native","Ambiguous",5833
"3753","Native 21","gap",20,"b","0","-","-",2841,"Native","Unambiguous",2841
"3778","Native 21","gap",13,"a","0","-","-",7115,"Native","Ambiguous",7115
"3807","Native 22","gap",15,"b","0","-","-",8583,"Native","Unambiguous",8583
"3811","Native 22","gap",13,"b","0","-","-",4636,"Native","Unambiguous",4636
"3814","Native 22","gap",20,"a","0","-","-",5004,"Native","Ambiguous",5004
"3818","Native 22","gap",23,"b","0","-","-",7538,"Native","Unambiguous",7538
"3847","Native 22","gap",18,"a","0","-","-",5654,"Native","Ambiguous",5654
"3854","Native 22","gap",16,"a","0","-","-",8600,"Native","Ambiguous",8600
"3862","Native 22","gap",24,"a","0","-","-",3915,"Native","Ambiguous",3915
"3878","Native 22","gap",21,"b","0","-","-",4643,"Native","Unambiguous",4643
"3884","Native 22","gap",19,"b","0","-","-",5828,"Native","Unambiguous",5828
"3895","Native 22","gap",17,"b","0","-","-",5026,"Native","Unambiguous",5026
"3922","Native 22","gap",22,"a","0","-","-",5447,"Native","Ambiguous",5447
"3937","Native 22","gap",14,"a","0","-","-",6403,"Native","Ambiguous",6403
"3985","Native 23","gap",15,"a","0","-","-",7157,"Native","Ambiguous",7157
"3997","Native 23","gap",20,"b","0","-","-",5656,"Native","Unambiguous",5656
"4008","Native 23","gap",24,"b","0","-","-",7395,"Native","Unambiguous",7395
"4041","Native 23","gap",17,"a","0","-","-",6825,"Native","Ambiguous",6825
"4044","Native 23","gap",19,"a","0","-","-",5239,"Native","Ambiguous",5239
"4055","Native 23","gap",14,"b","0","-","-",5605,"Native","Unambiguous",5605
"4082","Native 23","gap",18,"b","0","-","-",10642,"Native","Unambiguous",10642
"4089","Native 23","gap",16,"b","0","-","-",11550,"Native","Unambiguous",11550
"4100","Native 23","gap",13,"a","0","-","-",3242,"Native","Ambiguous",3242
"4111","Native 23","gap",23,"a","0","-","-",6985,"Native","Ambiguous",6985
"4117","Native 23","gap",21,"a","0","-","-",4354,"Native","Ambiguous",4354
"4124","Native 23","gap",22,"b","0","-","-",6205,"Native","Unambiguous",6205
"4155","Native 24","gap",13,"b","0","-","-",7809,"Native","Unambiguous",7809
"4177","Native 24","gap",23,"b","0","-","-",4123,"Native","Unambiguous",4123
"4181","Native 24","gap",19,"b","0","-","-",3885,"Native","Unambiguous",3885
"4191","Native 24","gap",14,"a","0","-","-",4769,"Native","Ambiguous",4769
"4229","Native 24","gap",20,"a","0","-","-",3692,"Native","Ambiguous",3692
"4239","Native 24","gap",21,"b","0","-","-",4963,"Native","Unambiguous",4963
"4245","Native 24","gap",18,"a","0","-","-",3014,"Native","Ambiguous",3014
"4249","Native 24","gap",22,"a","0","-","-",4804,"Native","Ambiguous",4804
"4259","Native 24","gap",15,"b","0","-","-",5017,"Native","Unambiguous",5017
"4267","Native 24","gap",24,"a","0","-","-",5862,"Native","Ambiguous",5862
"4274","Native 24","gap",16,"a","0","-","-",4012,"Native","Ambiguous",4012
"4292","Native 24","gap",17,"b","0","-","-",12679,"Native","Unambiguous",12679
"4376","Native 25","gap",24,"b","0","-","-",4691,"Native","Unambiguous",4691
