"","subject","type","item","condition","question","correct_answer","response","rt","group","ambiguity","trimmed_rt"
"20","Native 1","gap",9,"a","!","{The_table}",1,3739,"Native","Ambiguous",3739
"36","Native 1","gap",1,"a","!","{The_car}",0,4587,"Native","Ambiguous",4587
"40","Native 1","gap",7,"a","!","{The_sky}",1,1791,"Native","Ambiguous",1791
"55","Native 1","gap",11,"a","!","{The_table}",1,1797,"Native","Ambiguous",1797
"58","Native 1","gap",12,"b","!","{The_bread}",1,1744,"Native","Unambiguous",1744
"65","Native 1","gap",6,"b","!","{The_race}",1,2085,"Native","Unambiguous",2085
"78","Native 1","gap",2,"b","!","{The_truck}",1,1632,"Native","Unambiguous",1632
"85","Native 1","gap",8,"b","!","{The_church}",1,3415,"Native","Unambiguous",3415
"103","Native 1","gap",10,"b","!","{The_car}",1,2519,"Native","Unambiguous",2519
"108","Native 1","gap",3,"a","!","{The_ship}",0,2644,"Native","Ambiguous",2644
"155","Native 1","gap",4,"b","!","{The_door}",1,2134,"Native","Unambiguous",2134
"168","Native 1","gap",5,"a","!","{The_car}",1,4305,"Native","Ambiguous",4305
"199","Native 2","gap",10,"a","!","{The_car}",1,2074,"Native","Ambiguous",2074
"220","Native 2","gap",1,"b","!","{The_car}",0,2714,"Native","Unambiguous",2714
"227","Native 2","gap",3,"b","!","{The_island}",1,1319,"Native","Unambiguous",1319
"234","Native 2","gap",6,"a","!","{The_race}",1,1820,"Native","Ambiguous",1820
"244","Native 2","gap",9,"b","!","{The_table}",1,1392,"Native","Unambiguous",1392
"249","Native 2","gap",4,"a","!","{The_door}",1,1155,"Native","Ambiguous",1155
"253","Native 2","gap",12,"a","!","{The_bread}",1,2868,"Native","Ambiguous",2868
"257","Native 2","gap",5,"b","!","{The_car}",1,1342,"Native","Unambiguous",1342
"272","Native 2","gap",11,"b","!","{The_table}",1,954,"Native","Unambiguous",954
"321","Native 2","gap",8,"a","!","{The_church}",1,1400,"Native","Ambiguous",1400
"331","Native 2","gap",2,"a","!","{The_truck}",1,2852,"Native","Ambiguous",2852
"356","Native 2","gap",7,"b","!","{The_tower}",0,2391,"Native","Unambiguous",2391
"375","Native 3","gap",11,"a","!","{The_table}",1,1636,"Native","Ambiguous",1636
"388","Native 3","gap",6,"b","!","{The_race}",1,2839,"Native","Unambiguous",2839
"398","Native 3","gap",1,"a","!","{The_bicycle}",1,2090,"Native","Ambiguous",2090
"419","Native 3","gap",2,"b","!","{The_truck}",1,6286,"Native","Unambiguous",6286
"433","Native 3","gap",3,"a","!","{The_island}",1,5202,"Native","Ambiguous",5202
"440","Native 3","gap",9,"a","!","{The_table}",1,3036,"Native","Ambiguous",3036
"452","Native 3","gap",8,"b","!","{The_church}",1,8095,"Native","Unambiguous",8095
"463","Native 3","gap",5,"a","!","{The_car}",1,5365,"Native","Ambiguous",5365
"474","Native 3","gap",4,"b","!","{The_door}",1,2407,"Native","Unambiguous",2407
"489","Native 3","gap",7,"a","!","{The_tower}",0,4768,"Native","Ambiguous",4768
"506","Native 3","gap",10,"b","!","{The_car}",1,3133,"Native","Unambiguous",3133
"515","Native 3","gap",12,"b","!","{The_bread}",1,2051,"Native","Unambiguous",2051
"588","Native 4","gap",12,"a","!","{The_cake}",0,1759,"Native","Ambiguous",1759
"592","Native 4","gap",2,"a","!","{The_truck}",1,1696,"Native","Ambiguous",1696
"617","Native 4","gap",1,"b","!","{The_car}",0,1413,"Native","Unambiguous",1413
"621","Native 4","gap",5,"b","!","{The_car}",1,1435,"Native","Unambiguous",1435
"625","Native 4","gap",3,"b","!","{The_ship}",0,2176,"Native","Unambiguous",2176
"635","Native 4","gap",8,"a","!","{The_church}",1,2291,"Native","Ambiguous",2291
"642","Native 4","gap",6,"a","!","{The_race}",1,1343,"Native","Ambiguous",1343
"685","Native 4","gap",9,"b","!","{The_table}",1,2552,"Native","Unambiguous",2552
"691","Native 4","gap",10,"a","!","{The_car}",1,1237,"Native","Ambiguous",1237
"698","Native 4","gap",11,"b","!","{The_room}",0,1632,"Native","Unambiguous",1632
"711","Native 4","gap",7,"b","!","{The_tower}",0,1497,"Native","Unambiguous",1497
"715","Native 4","gap",4,"a","!","{The_window}",0,1567,"Native","Ambiguous",1567
"735","Native 5","gap",1,"a","!","{The_bicycle}",1,3963,"Native","Ambiguous",3963
"761","Native 5","gap",6,"b","!","{The_race}",1,3783,"Native","Unambiguous",3783
"768","Native 5","gap",4,"b","!","{The_door}",1,3219,"Native","Unambiguous",3219
"775","Native 5","gap",7,"a","!","{The_sky}",1,1479,"Native","Ambiguous",1479
"784","Native 5","gap",8,"b","!","{The_church}",1,1518,"Native","Unambiguous",1518
"787","Native 5","gap",9,"a","!","{The_table}",1,2462,"Native","Ambiguous",2462
"794","Native 5","gap",5,"a","!","{The_car}",1,1739,"Native","Ambiguous",1739
"801","Native 5","gap",11,"a","!","{The_table}",1,1617,"Native","Ambiguous",1617
"816","Native 5","gap",3,"a","!","{The_ship}",0,4022,"Native","Ambiguous",4022
