"","subject","type","item","condition","question","correct_answer","response","rt","group","ambiguity","trimmed_rt"
"16","Native 1","gp",14,"b","!","{The_doctor_woke_himself_up}",1,3844,"Native","Unambiguous",3844
"62","Native 1","gp",9,"a","!","{The_pianist_calmed_himself_down}",1,3042,"Native","Ambiguous",3042
"68","Native 1","gp",6,"b","!","{The_two_kids_fought_each_other}",1,3319,"Native","Unambiguous",3319
"75","Native 1","gp",5,"a","!","{The_father_washed_the_boy}",0,2108,"Native","Ambiguous",2108
"100","Native 1","gp",17,"a","!","{The_two_men_fought_each_other}",1,3400,"Native","Ambiguous",3400
"106","Native 1","gp",2,"b","!","{The_mother_dressed_herself}",1,3563,"Native","Unambiguous",3563
"116","Native 1","gp",18,"b","!","{The_father_washed_himself}",1,2748,"Native","Unambiguous",2748
"126","Native 1","gp",1,"a","!","{The_lawyer_calmed_himself_down}",1,4765,"Native","Ambiguous",4765
"130","Native 1","gp",10,"b","!","{The_two_soldiers_fought_each_other}",1,3444,"Native","Unambiguous",3444
"136","Native 1","gp",13,"a","!","{The_girl_calmed_herself_down}",1,1904,"Native","Ambiguous",1904
"147","Native 1","gp",21,"a","!","{Anna_dressed_herself}",1,1626,"Native","Ambiguous",1626
"151","Native 1","gp",22,"b","!","{The_two_footballers_fought_each_other}",1,2226,"Native","Unambiguous",2226
"195","Native 2","gp",16,"a","!","{The_researcher_woke_himself_up}",1,3657,"Native","Ambiguous",3657
"202","Native 2","gp",17,"b","!","{The_two_men_fought_each_other}",1,2911,"Native","Unambiguous",2911
"209","Native 2","gp",4,"a","!","{The_two_children_hugged_their_friend}",0,2561,"Native","Ambiguous",2561
"261","Native 2","gp",20,"a","!","{The_two_friends_met_each_other}",1,2585,"Native","Ambiguous",2585
"269","Native 2","gp",8,"a","!","{Mary_dressed_the_boy}",0,1956,"Native","Ambiguous",1956
"275","Native 2","gp",1,"b","!","{The_lawyer_calmed_himself_down}",1,2505,"Native","Unambiguous",2505
"286","Native 2","gp",12,"a","!","{The_nurse_washed_the_baby}",0,2174,"Native","Ambiguous",2174
"289","Native 2","gp",24,"a","!","{The_two_actresses_met_the_director}",0,2652,"Native","Ambiguous",2652
"307","Native 2","gp",9,"b","!","{The_pianist_calmed_himself_down}",1,3468,"Native","Unambiguous",3468
"314","Native 2","gp",5,"b","!","{The_father_washed_himself}",1,1921,"Native","Unambiguous",1921
